COMM_ID,COMM_NAME,SHAPE_YEAR,X,Y,Lat,Long,PROV_CODE_1,PROV_NAMT,AMP_CODE_1,AMP_NAMT,TAM_CODE_1,TAM_NAMT
100002,ริมคลองกะจะ (บางส่วน),2562,677065.7983,1520645.352,13.749692,100.637682,10,กรุงเทพมหานคร,06,บางกะปิ,08,หัวหมาก
100003,ลำสาลีพัฒนา (บางส่วน),2562,678292.0616,1520800.927,13.751023,100.64903,10,กรุงเทพมหานคร,06,บางกะปิ,08,หัวหมาก
100004,วังโสม (บางส่วน),2562,679393.2645,1521497.51,13.75725,100.659256,10,กรุงเทพมหานคร,06,บางกะปิ,08,หัวหมาก
100006,สามัคคีพัฒนา (บางส่วน),2562,679269.1078,1522178.436,13.763412,100.658152,10,กรุงเทพมหานคร,06,บางกะปิ,08,หัวหมาก
100008,สุขเจริญพัฒนา (บางส่วน),2562,675926.9076,1526648.306,13.804019,100.627527,10,กรุงเทพมหานคร,06,บางกะปิ,01,คลองจั่น
100016,ไม่มีชื่อ (รอบบึงกุ่ม),2562,679227.8502,1523927.985,13.779228,100.657882,10,กรุงเทพมหานคร,27,บึงกุ่ม,01,คลองกุ่ม
100020,เพชรคลองจั่น,2562,679090.2961,1523430.601,13.774741,100.656578,10,กรุงเทพมหานคร,27,บึงกุ่ม,01,คลองกุ่ม
100022,โพธิ์ทอง (บางส่วน),2562,678151.8383,1527814.108,13.814419,100.648178,10,กรุงเทพมหานคร,27,บึงกุ่ม,05,นวลจันทร์
100024,วัดพิชัย (บางส่วน),2562,679211.0596,1523190.321,13.772562,100.657679,10,กรุงเทพมหานคร,27,บึงกุ่ม,01,คลองกุ่ม
100027,สุวรรณประสิทธิ์ 3 (บางส่วน),2562,679941.768,1526857.506,13.805661,100.664671,10,กรุงเทพมหานคร,27,บึงกุ่ม,01,คลองกุ่ม
100028,สามัคคีพัฒนา (บางส่วน),2562,678719.2675,1524911.819,13.788152,100.653241,10,กรุงเทพมหานคร,27,บึงกุ่ม,01,คลองกุ่ม
100032,นภาพิไลพัฒนา (บางส่วน),2562,682566.5293,1525395.965,13.792286,100.688851,10,กรุงเทพมหานคร,43,คันนายาว,01,คันนายาว
100033,บ้านเกาะ (บางส่วน),2562,682631.7238,1526621.161,13.803355,100.689533,10,กรุงเทพมหานคร,43,คันนายาว,01,คันนายาว
100034,ริมคลองระหัสพัฒนา (บางส่วน),2562,681363.0699,1524672.394,13.785822,100.677675,10,กรุงเทพมหานคร,43,คันนายาว,02,รามอินทรา
100036,วิมานสุข (บางส่วน),2562,682181.7176,1525876.354,13.796652,100.685323,10,กรุงเทพมหานคร,43,คันนายาว,01,คันนายาว
100039,หลวงวิจิตร (บางส่วน),2562,678702.1861,1530223.692,13.836164,100.653422,10,กรุงเทพมหานคร,43,คันนายาว,02,รามอินทรา
100041,ซอยผู้ใหญ่ชม (บางส่วน),2562,679540.0051,1531732.546,13.849749,100.661268,10,กรุงเทพมหานคร,43,คันนายาว,02,รามอินทรา
100045,กมาลุลอิสลาม (บางส่วน),2562,691271.0307,1530522.387,13.838051,100.769696,10,กรุงเทพมหานคร,46,คลองสามวา,05,ทรายกองดินใต้
100059,ไม่มีชื่อ (ซ.วัดบัวแก้วศรัทธาธรรม),2562,687119.7147,1531839.001,13.850225,100.731387,10,กรุงเทพมหานคร,46,คลองสามวา,04,ทรายกองดิน
100097,วังหนับอุทิศ (บางส่วน),2562,683581.7121,1522918.688,13.769831,100.698077,10,กรุงเทพมหานคร,44,สะพานสูง,02,ราษฎร์พัฒนา
100105,ทับช้างนาลุ่ม (บางส่วน),2562,682647.7824,1520210.01,13.745409,100.689266,10,กรุงเทพมหานคร,44,สะพานสูง,03,ทับช้าง
100108,วังใหญ่พัฒนา (บางส่วน),2562,681664.5713,1521068.499,13.75323,100.68023,10,กรุงเทพมหานคร,44,สะพานสูง,01,สะพานสูง
100123,บางชันพัฒนา (บางส่วน),2562,683890.4843,1526690.387,13.803901,100.701179,10,กรุงเทพมหานคร,10,มีนบุรี,01,มีนบุรี
100126,มีนบุรีอุปถัมภ์ (บางส่วน),2562,686854.3707,1527376.396,13.80991,100.728635,10,กรุงเทพมหานคร,10,มีนบุรี,01,มีนบุรี
100129,ลำนายโส (บางส่วน),2562,685522.8398,1523949.034,13.779019,100.716094,10,กรุงเทพมหานคร,10,มีนบุรี,01,มีนบุรี
100131,สามัคคีคลองสองต้นนุ่น (บางส่วน),2562,687270.5628,1526546.491,13.802382,100.732429,10,กรุงเทพมหานคร,10,มีนบุรี,01,มีนบุรี
100145,หลวงพรต-ท่านเลี่ยม (บางส่วน),2562,693204.1128,1518013.971,13.724874,100.786716,10,กรุงเทพมหานคร,11,ลาดกระบัง,01,ลาดกระบัง
100151,ประชาร่วมใจ (บางส่วน),2562,689334.7921,1517939.264,13.724455,100.75094,10,กรุงเทพมหานคร,11,ลาดกระบัง,01,ลาดกระบัง
100154,มิตรสัมพันธ์ หมู่ 9 ลำปลาทิว (บางส่วน),2562,694957.8825,1521838.22,13.759318,100.803193,10,กรุงเทพมหานคร,11,ลาดกระบัง,04,ลำปลาทิว
100161,วัดสังฆราชา (บางส่วน),2562,687460.0797,1517779.081,13.723129,100.733598,10,กรุงเทพมหานคร,11,ลาดกระบัง,01,ลาดกระบัง
100162,วัดสุทธาโภชน์สุนทรอุปถัมภ์ (บางส่วน),2562,697161.1813,1519789.127,13.74065,100.823421,10,กรุงเทพมหานคร,11,ลาดกระบัง,05,ทับยาว
100165,ศีลาภิรัตน์อุปถัมภ์ (บางส่วน),2562,689605.5884,1518451.427,13.729066,100.753478,10,กรุงเทพมหานคร,11,ลาดกระบัง,03,คลองสามประเวศ
100166,หมู่บ้านทิวไผ่พัฒนา (บางส่วน),2562,694794.4435,1522696.681,13.767088,100.801741,10,กรุงเทพมหานคร,11,ลาดกระบัง,04,ลำปลาทิว
100219,พัฒนาบ้านแบนใหญ่ (บางส่วน),2562,697592.8165,1529319.842,13.826754,100.828081,10,กรุงเทพมหานคร,03,หนองจอก,05,โคกแฝด
100220,พัฒนาคลองลำต้นไทร (บางส่วน),2562,694685.0175,1528266.992,13.817438,100.801115,10,กรุงเทพมหานคร,03,หนองจอก,05,โคกแฝด
100231,ซอยสะพานร่วมใจ,2562,674552.3535,1541532.644,13.938635,100.615745,10,กรุงเทพมหานคร,36,ดอนเมือง,05,สนามบิน
100232,ทำนบร่วมใจ,2562,671128.2865,1536352.135,13.892019,100.58374,10,กรุงเทพมหานคร,36,ดอนเมือง,04,ดอนเมือง
100234,ร่มไทรงามพัฒนา,2562,671913.6322,1537941.108,13.906334,100.591104,10,กรุงเทพมหานคร,36,ดอนเมือง,04,ดอนเมือง
100236,ประชากร 3,2562,672090.6342,1538183.483,13.908514,100.592757,10,กรุงเทพมหานคร,36,ดอนเมือง,04,ดอนเมือง
100237,ประชากร 4,2562,672445.8258,1538853.995,13.914553,100.596085,10,กรุงเทพมหานคร,36,ดอนเมือง,04,ดอนเมือง
100238,ประเสริฐเปรมประชา,2562,672546.4576,1539137.421,13.917108,100.597034,10,กรุงเทพมหานคร,36,ดอนเมือง,04,ดอนเมือง
100239,ปู่เจ้าสมิงพราย สะพานปูน (บางส่วน),2562,672263.8158,1538580.174,13.912089,100.594384,10,กรุงเทพมหานคร,36,ดอนเมือง,04,ดอนเมือง
100241,พรหมสัมฤทธิ์ (บางส่วน),2562,673533.9438,1541147.508,13.935216,100.606297,10,กรุงเทพมหานคร,36,ดอนเมือง,02,สีกัน
100242,พัฒนาตลาดกลาง,2562,672585.7911,1539487.896,13.920274,100.59742,10,กรุงเทพมหานคร,36,ดอนเมือง,04,ดอนเมือง
100245,ร่วมมิตรแรงศรัทธา (บางส่วน),2562,673102.2905,1536529.502,13.893503,100.602015,10,กรุงเทพมหานคร,36,ดอนเมือง,05,สนามบิน
100247,สะพานปูน (บางส่วน),2562,672340.4298,1538587.124,13.912147,100.595093,10,กรุงเทพมหานคร,36,ดอนเมือง,04,ดอนเมือง
100248,วัดดอนเมืองด้านเหนือ (บางส่วน),2562,673043.3598,1539872.644,13.923723,100.601677,10,กรุงเทพมหานคร,36,ดอนเมือง,02,สีกัน
100250,ก้าวหน้า (บางส่วน),2562,672019.978,1535590.159,13.885078,100.591943,10,กรุงเทพมหานคร,41,หลักสี่,02,ตลาดบางเขน
100251,คนรักถิ่น (บางส่วน),2562,669797.3728,1533913.183,13.870054,100.571278,10,กรุงเทพมหานคร,41,หลักสี่,01,ทุ่งสองห้อง
100252,คลองบางเขน (บางส่วน),2562,671083.0223,1532586.241,13.857983,100.58309,10,กรุงเทพมหานคร,41,หลักสี่,02,ตลาดบางเขน
100253,คลองเปรมประชาพัฒนา (บางส่วน),2562,671457.1399,1537068.223,13.898472,100.586827,10,กรุงเทพมหานคร,41,หลักสี่,01,ทุ่งสองห้อง
100254,ชายคลองบางบัว (บางส่วน),2562,671527.1793,1534353.336,13.873929,100.587308,10,กรุงเทพมหานคร,41,หลักสี่,02,ตลาดบางเขน
100255,ตลาดบางเขน,2562,669194.0663,1532661.701,13.858778,100.56562,10,กรุงเทพมหานคร,41,หลักสี่,02,ตลาดบางเขน
100256,ตลาดหลักสี่ (บางส่วน),2562,670662.4482,1535439.469,13.883798,100.579374,10,กรุงเทพมหานคร,41,หลักสี่,02,ตลาดบางเขน
100257,เทวสุนทร (บางส่วน),2562,668986.7414,1532372.855,13.856179,100.563685,10,กรุงเทพมหานคร,41,หลักสี่,01,ทุ่งสองห้อง
100259,เปรมสุขสันต์ (บางส่วน),2562,670206.6341,1534604.1,13.876274,100.575106,10,กรุงเทพมหานคร,41,หลักสี่,02,ตลาดบางเขน
