type,address,timestamp,problem_type_abdul,note,state,latitude,longitude,province,district
ความสะอาด,"แฟลต 29 กับ 30 ที่อยู่ตรงข้ามกับ สนามไทยญี่ปุ่นดินแดง : 211,211/1- ถนน มิตรไมตรี แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย",2023-05-18,"['ความสะอาด', 'ถนน']",,รอรับเรื่อง,100.55088,13.76736,กรุงเทพมหานคร,เขตดินแดง
ถนน,"แฟลต 29 กับ 30 ที่อยู่ตรงข้ามกับ สนามไทยญี่ปุ่นดินแดง : 211,211/1- ถนน มิตรไมตรี แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย",2023-05-18,"['ความสะอาด', 'ถนน']",,รอรับเรื่อง,100.55088,13.76736,กรุงเทพมหานคร,เขตดินแดง
ต้นไม้,RG97+VG3 แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,2023-05-18,"['ต้นไม้', 'ถนน', 'ร้องเรียน', 'คลอง']",,รอรับเรื่อง,100.51362,13.81982,กรุงเทพมหานคร,เขตบางซื่อ
ถนน,RG97+VG3 แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,2023-05-18,"['ต้นไม้', 'ถนน', 'ร้องเรียน', 'คลอง']",,รอรับเรื่อง,100.51362,13.81982,กรุงเทพมหานคร,เขตบางซื่อ
ร้องเรียน,RG97+VG3 แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,2023-05-18,"['ต้นไม้', 'ถนน', 'ร้องเรียน', 'คลอง']",,รอรับเรื่อง,100.51362,13.81982,กรุงเทพมหานคร,เขตบางซื่อ
คลอง,RG97+VG3 แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,2023-05-18,"['ต้นไม้', 'ถนน', 'ร้องเรียน', 'คลอง']",,รอรับเรื่อง,100.51362,13.81982,กรุงเทพมหานคร,เขตบางซื่อ
จราจร,682 ถนน อ่อนนุช แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,['จราจร'],เขตสวนหลวง ส่งต่อไปยัง สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.),ส่งต่อ(ใหม่),100.61529,13.7235,กรุงเทพมหานคร,แขวงสวนหลวง
สายไฟ,25 ซอย จรัญสนิทวงศ์ 52 แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,2023-05-18,['สายไฟ'],เขตบางพลัด ส่งต่อไปยัง สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์และกิจการโทรคมนาคมแห่งชาติ (กสทช.),ส่งต่อ(ใหม่),100.49022,13.78111,กรุงเทพมหานคร,เขตบางพลัด
ถนน,1173 ถ. สุขุมวิท 71 แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,"['ถนน', 'ทางเท้า', 'สะพาน', 'ท่อระบายน้ำ', 'คลอง']",เขตสวนหลวง ส่งต่อไปยัง สำนักการระบายน้ำ กทม.,ส่งต่อ(ใหม่),100.59878,13.73893,กรุงเทพมหานคร,แขวงสวนหลวง
ทางเท้า,1173 ถ. สุขุมวิท 71 แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,"['ถนน', 'ทางเท้า', 'สะพาน', 'ท่อระบายน้ำ', 'คลอง']",เขตสวนหลวง ส่งต่อไปยัง สำนักการระบายน้ำ กทม.,ส่งต่อ(ใหม่),100.59878,13.73893,กรุงเทพมหานคร,แขวงสวนหลวง
สะพาน,1173 ถ. สุขุมวิท 71 แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,"['ถนน', 'ทางเท้า', 'สะพาน', 'ท่อระบายน้ำ', 'คลอง']",เขตสวนหลวง ส่งต่อไปยัง สำนักการระบายน้ำ กทม.,ส่งต่อ(ใหม่),100.59878,13.73893,กรุงเทพมหานคร,แขวงสวนหลวง
ท่อระบายน้ำ,1173 ถ. สุขุมวิท 71 แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,"['ถนน', 'ทางเท้า', 'สะพาน', 'ท่อระบายน้ำ', 'คลอง']",เขตสวนหลวง ส่งต่อไปยัง สำนักการระบายน้ำ กทม.,ส่งต่อ(ใหม่),100.59878,13.73893,กรุงเทพมหานคร,แขวงสวนหลวง
คลอง,1173 ถ. สุขุมวิท 71 แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,"['ถนน', 'ทางเท้า', 'สะพาน', 'ท่อระบายน้ำ', 'คลอง']",เขตสวนหลวง ส่งต่อไปยัง สำนักการระบายน้ำ กทม.,ส่งต่อ(ใหม่),100.59878,13.73893,กรุงเทพมหานคร,แขวงสวนหลวง
ความสะอาด,สุขาภิบาล 5 ซอย 92 สุขาภิบาล 5  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร : 292 สุขาภิบาล ๕ ซอย 92 แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,2023-05-18,"['ความสะอาด', 'ถนน', 'คลอง']",,รอรับเรื่อง,100.68372,13.91431,กรุงเทพมหานคร,เขตสายไหม
ถนน,สุขาภิบาล 5 ซอย 92 สุขาภิบาล 5  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร : 292 สุขาภิบาล ๕ ซอย 92 แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,2023-05-18,"['ความสะอาด', 'ถนน', 'คลอง']",,รอรับเรื่อง,100.68372,13.91431,กรุงเทพมหานคร,เขตสายไหม
คลอง,สุขาภิบาล 5 ซอย 92 สุขาภิบาล 5  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร : 292 สุขาภิบาล ๕ ซอย 92 แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,2023-05-18,"['ความสะอาด', 'ถนน', 'คลอง']",,รอรับเรื่อง,100.68372,13.91431,กรุงเทพมหานคร,เขตสายไหม
ความปลอดภัย,97/31 ถนน สายไหม แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,2023-05-18,"['ความปลอดภัย', 'จราจร']",,รอรับเรื่อง,100.6463,13.86765,กรุงเทพมหานคร,เขตบางเขน
จราจร,97/31 ถนน สายไหม แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,2023-05-18,"['ความปลอดภัย', 'จราจร']",,รอรับเรื่อง,100.6463,13.86765,กรุงเทพมหานคร,เขตบางเขน
จราจร,1173 ถ. สุขุมวิท 71 แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,"['จราจร', 'ถนน', 'กีดขวาง', 'สะพาน', 'คลอง']",เขตสวนหลวง ส่งต่อไปยัง กองบัญชาการตำรวจนครบาล (บช.น.),ส่งต่อ(ใหม่),100.59878,13.73893,กรุงเทพมหานคร,แขวงสวนหลวง
ถนน,1173 ถ. สุขุมวิท 71 แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,"['จราจร', 'ถนน', 'กีดขวาง', 'สะพาน', 'คลอง']",เขตสวนหลวง ส่งต่อไปยัง กองบัญชาการตำรวจนครบาล (บช.น.),ส่งต่อ(ใหม่),100.59878,13.73893,กรุงเทพมหานคร,แขวงสวนหลวง
กีดขวาง,1173 ถ. สุขุมวิท 71 แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,"['จราจร', 'ถนน', 'กีดขวาง', 'สะพาน', 'คลอง']",เขตสวนหลวง ส่งต่อไปยัง กองบัญชาการตำรวจนครบาล (บช.น.),ส่งต่อ(ใหม่),100.59878,13.73893,กรุงเทพมหานคร,แขวงสวนหลวง
สะพาน,1173 ถ. สุขุมวิท 71 แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,"['จราจร', 'ถนน', 'กีดขวาง', 'สะพาน', 'คลอง']",เขตสวนหลวง ส่งต่อไปยัง กองบัญชาการตำรวจนครบาล (บช.น.),ส่งต่อ(ใหม่),100.59878,13.73893,กรุงเทพมหานคร,แขวงสวนหลวง
คลอง,1173 ถ. สุขุมวิท 71 แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,"['จราจร', 'ถนน', 'กีดขวาง', 'สะพาน', 'คลอง']",เขตสวนหลวง ส่งต่อไปยัง กองบัญชาการตำรวจนครบาล (บช.น.),ส่งต่อ(ใหม่),100.59878,13.73893,กรุงเทพมหานคร,แขวงสวนหลวง
ทางเท้า,,2023-05-18,['ทางเท้า'],,รอรับเรื่อง,100.57435,13.78941,,
ความสะอาด,161/836 ซอย จรัญสนิทวงศ์ 27 แขวงบางขุนศรี เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย,2023-05-18,['ความสะอาด'],,รอรับเรื่อง,100.46251,13.74956,กรุงเทพมหานคร,เขตบางกอกน้อย
ความสะอาด,27/1107 ซอย นภาลัย 6 บางนาใต้ เขตบางนา กรุงเทพมหานคร 10260 ประเทศไทย,2023-05-18,['ความสะอาด'],,รอรับเรื่อง,100.59959,13.66565,กรุงเทพมหานคร,เขตบางนา
ความสะอาด,258 พระราม 9 แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,2023-05-18,"['ความสะอาด', 'ร้องเรียน', 'ถนน']",เขตห้วยขวาง ส่งต่อไปยัง สำนักการระบายน้ำ กทม.,ส่งต่อ(ใหม่),100.59296,13.76094,กรุงเทพมหานคร,เขตห้วยขวาง
