type,address,timestamp,problem_type_abdul,note,state,latitude,longitude,province,district,cluster_label
ถนน,29/11 ถ. เพชรเกษม แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160 ประเทศไทย,2023-05-18,['ถนน'],,รอรับเรื่อง,100.34907,13.70649,กรุงเทพมหานคร,เขตหนองแขม,3
ถนน,34/63 ซอย เจริญกรุง 107 แยก 11 แขวงบางคอแหลม เขตบางคอแหลม กรุงเทพมหานคร 10120 ประเทศไทย,2023-05-18,"['ความสะอาด', 'ถนน']",,รอรับเรื่อง,100.50218,13.697,กรุงเทพมหานคร,เขตบางคอแหลม,0
ถนน,ถนนศรีนครินทร์ : 2998 ถ. พัฒนาการ แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,['ถนน'],,รอรับเรื่อง,100.65137,13.73028,กรุงเทพมหานคร,แขวงสวนหลวง,2
ถนน,573/16 ถ. สุทธิสารวินิจฉัย แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย,2023-05-18,"['ถนน', 'ท่อระบายน้ำ']",,รอรับเรื่อง,100.5639,13.7894,กรุงเทพมหานคร,เขตดินแดง,4
ถนน,231 พระรามที่ 4 แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย,2023-05-18,"['ถนน', 'ความสะอาด']",,รอรับเรื่อง,100.56275,13.72361,กรุงเทพมหานคร,เขตคลองเตย,2
ถนน,170 ถนน ลาดกระบัง แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,2023-05-18,"['ร้องเรียน', 'ถนน', 'สอบถาม']",,รอรับเรื่อง,100.7603,13.72245,กรุงเทพมหานคร,เขตลาดกระบัง,5
ถนน,787 ซอย สุขุมวิท 101 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,2023-05-18,"['ถนน', 'สัตว์จรจัด', 'ความสะอาด']",,รอรับเรื่อง,100.61843,13.6913,กรุงเทพมหานคร,เขตพระโขนง,2
ทางเท้า,642/3 ถนน วงศ์สว่าง แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,2023-05-18,['ทางเท้า'],เขตบางซื่อ ส่งต่อไปยัง สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.),ส่งต่อ(ใหม่),100.5238,13.82375,กรุงเทพมหานคร,เขตบางซื่อ,4
ถนน,ถนนสมเด็จพระเจ้าตากสิน : 429 ถนน สมเด็จพระเจ้าตากสิน แขวงคลองต้นไทร เขตคลองสาน กรุงเทพมหานคร 10600 ประเทศไทย,2023-05-18,"['ถนน', 'ความปลอดภัย']",,รอรับเรื่อง,100.49285,13.72314,กรุงเทพมหานคร,เขตคลองสาน,0
ถนน,45/2 ซอย เลียบคลองสอง 32 แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,2023-05-18,"['ถนน', 'แสงสว่าง']",,รอรับเรื่อง,100.71842,13.86149,กรุงเทพมหานคร,เขตคลองสามวา,1
ถนน,17/1 ซอย นวมินทร์ 74 แยก 3-10-17 แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230 ประเทศไทย,2023-05-18,"['ถนน', 'แสงสว่าง']",,รอรับเรื่อง,100.66763,13.815,กรุงเทพมหานคร,เขตคันนายาว,4
ถนน,40 ซอย ปุณณวิถี 43 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,2023-05-18,"['ต้นไม้', 'ร้องเรียน', 'ถนน', 'สัตว์จรจัด']",,รอรับเรื่อง,100.62175,13.6952,กรุงเทพมหานคร,เขตพระโขนง,2
ถนน,"72 Soi Suphang, Sukhumvit Road, Klongton Klongtoey,Bangkok 10110 แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย",2023-05-18,"['ถนน', 'ท่อระบายน้ำ']",,รอรับเรื่อง,100.57657,13.72572,กรุงเทพมหานคร,เขตคลองเตย,2
ถนน,-  สังฆสันติสุข : โรงเรียนเซนต์เทเรซา แขวงกระทุ่มราย เขตหนองจอก กรุงเทพมหานคร 10530 ประเทศไทย,2023-05-18,['ถนน'],สำนักงานเขตหนองจอกรับเรื่อง พร้อมประสานฝ่ายที่เกี่ยวข้องดำเนินการต่อไป,กำลังดำเนินการ,100.87711,13.85198,กรุงเทพมหานคร,เขตหนองจอก,5
ถนน,54/1 ซอย สามเสน 5 แขวงวัดสามพระยา เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย,2023-05-18,"['ความสะอาด', 'ถนน']",,รอรับเรื่อง,100.49937,13.76627,กรุงเทพมหานคร,เขตพระนคร,0
ถนน,10 เฉลิมพระเกียรติ ร.9 ซอย 14 แยก 8 แขวงหนองบอน เขต ประเวศ กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,['ถนน'],,รอรับเรื่อง,100.66097,13.67545,กรุงเทพมหานคร,ประเวศ,2
ถนน,ถนนจักรเพชร : 565 ถนนจักรเพชร แขวงวังบูรพาภิรมย์ เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย,2023-05-18,"['ถนน', 'ความปลอดภัย']",,รอรับเรื่อง,100.50155,13.74387,กรุงเทพมหานคร,เขตพระนคร,0
ถนน,7/192 ซอย วิภาวดีรังสิต 36 แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,2023-05-18,"['ถนน', 'ร้องเรียน']",,รอรับเรื่อง,100.56065,13.82895,กรุงเทพมหานคร,เขตจตุจักร,4
ถนน,20 สวัสดิการ 2 ซอย 18 แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160 ประเทศไทย,2023-05-18,['ถนน'],,รอรับเรื่อง,100.35815,13.6973,กรุงเทพมหานคร,เขตหนองแขม,3
ทางเท้า,339/16 จรัญสนิทวงศ์ แขวง บางขุนศรี เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย,2023-05-18,"['ทางเท้า', 'กีดขวาง']",,รอรับเรื่อง,100.46572,13.75538,กรุงเทพมหานคร,เขตบางกอกน้อย,0
