type,address,timestamp,problem_type_abdul,note,state,latitude,longitude,province,district,type_count
['ถนน'],29/11 ถ. เพชรเกษม แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160 ประเทศไทย,2023-05-18,['ถนน'],,รอรับเรื่อง,100.34907,13.70649,กรุงเทพมหานคร,เขตหนองแขม,1
"['ป้าย', 'การเดินทาง']",39 1 แขวง จตุจักร เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,2023-05-18,"['ป้าย', 'การเดินทาง']",,รอรับเรื่อง,100.55393,13.8027,กรุงเทพมหานคร,เขตจตุจักร,2
"['ความสะอาด', 'ถนน']",34/63 ซอย เจริญกรุง 107 แยก 11 แขวงบางคอแหลม เขตบางคอแหลม กรุงเทพมหานคร 10120 ประเทศไทย,2023-05-18,"['ความสะอาด', 'ถนน']",,รอรับเรื่อง,100.50218,13.697,กรุงเทพมหานคร,เขตบางคอแหลม,2
['ถนน'],ถนนศรีนครินทร์ : 2998 ถ. พัฒนาการ แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,['ถนน'],,รอรับเรื่อง,100.65137,13.73028,กรุงเทพมหานคร,แขวงสวนหลวง,1
"['ถนน', 'ท่อระบายน้ำ']",573/16 ถ. สุทธิสารวินิจฉัย แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย,2023-05-18,"['ถนน', 'ท่อระบายน้ำ']",,รอรับเรื่อง,100.5639,13.7894,กรุงเทพมหานคร,เขตดินแดง,2
[''],6 632 หมู่ 5 ถ. พหลโยธิน แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,2023-05-18,[''],,รอรับเรื่อง,100.61602,13.89356,กรุงเทพมหานคร,เขตสายไหม,1
"['ถนน', 'ความสะอาด']",231 พระรามที่ 4 แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย,2023-05-18,"['ถนน', 'ความสะอาด']",,รอรับเรื่อง,100.56275,13.72361,กรุงเทพมหานคร,เขตคลองเตย,2
"['ร้องเรียน', 'ถนน', 'สอบถาม']",170 ถนน ลาดกระบัง แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,2023-05-18,"['ร้องเรียน', 'ถนน', 'สอบถาม']",,รอรับเรื่อง,100.7603,13.72245,กรุงเทพมหานคร,เขตลาดกระบัง,3
['แสงสว่าง'],25 ซอย วัดสุขใจ 11 แขวงทรายกองดิน เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,2023-05-18,['แสงสว่าง'],,รอรับเรื่อง,100.74518,13.86492,กรุงเทพมหานคร,เขตคลองสามวา,1
"['ถนน', 'สัตว์จรจัด', 'ความสะอาด']",787 ซอย สุขุมวิท 101 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,2023-05-18,"['ถนน', 'สัตว์จรจัด', 'ความสะอาด']",,รอรับเรื่อง,100.61843,13.6913,กรุงเทพมหานคร,เขตพระโขนง,3
