ticket_id,type,organization,comment,coords,photo,photo_after,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
2023-FCX4QQ,{ร้องเรียน},เขตหนองจอก,"ปัญหาเรื่องกลิ่นและเสียง จากโรงฆ่าสัตว์  
กลิ่นรบกวนกับชุมชนรอบข้างมานาน 
พอร้องเรียน ก็ปรับปรุงบ้าง แต่พอนานไปก็กลับมาสร้างปัญหาเหมือนเดิม แถมปัจจุบันยังมีการแอบปล่อยน้ำเสีย ลงแหล่งน้ำธรรมชาติ   รบกวนช่วยมาตรวจสอบด้วย บริษัท สยามอินเตอร์พอร์ค ขอบคุณครับ","100.87281,13.81565",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/684af9ee60bc2940d73556c87a3e7907c348cd49.jpg,,"13 ถนน อยู่วิทยา แขวง กระทุ่มราย เขต หนองจอก กรุงเทพมหานคร 10530 ประเทศไทย",กระทุ่มราย,หนองจอก,กรุงเทพมหานคร,"2023-05-12 13:27:54.482138+00",รอรับเรื่อง,,0,"2023-05-12 13:27:54.471831+00"
2023-6CG32T,{สายไฟ},เขตบางบอน,"สายไฟระโยงระยาง ไม่เรียบร้อย รกรุงรังมาก","100.39037,13.64517",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/258d62ffd426e7e6eb4d5f4e749ab2c1579b9280.jpg,,"104/120 ซอย 1/4 แขวง บางบอน เขตบางบอน กรุงเทพมหานคร 10150 ประเทศไทย",บางบอนใต้,บางบอน,กรุงเทพมหานคร,"2023-05-12 13:26:11.685314+00",รอรับเรื่อง,,0,"2023-05-12 13:26:11.677011+00"
2023-HA44MD,"{กีดขวาง,ถนน}",เขตธนบุรี,ตั้งรถเข็นขายของข้ามวันข้ามคืนนานแล้วถนนก็แคบมาจอดขวางอีกเทศกิจช่วยยกออกไปทีค่ะ,"100.48866,13.72368",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/9d7f245928d7e502b316b3be64d9ac3414dd283e.jpg,,"231 ริมทางรถไฟ แขวงบางยี่เรือ เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย",บางยี่เรือ,ธนบุรี,กรุงเทพมหานคร,"2023-05-12 13:26:05.221234+00",รอรับเรื่อง,,0,"2023-05-12 13:26:05.210935+00"
2023-FY6L4U,{ทางเท้า},เขตภาษีเจริญ,"มอเตอร์ไซค์ขับบนทางเท้า ตรงป้ายรถเมล์ฝั่งตรงข้ามซีคอนบางแคครับ ขับบนทางเท้ากันเยอะมาก ซึ่งตรงป้ายรถเมล์คนเยอะ แล้วก็ทางเท้าก็แคบอยู่แล้วครับ","100.43366,13.71289",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/3130a6dd643b5404da545b09e341188a707585f2.jpg,,"340 ถ. เพชรเกษม แขวง บางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160 ประเทศไทย",บางหว้า,ภาษีเจริญ,กรุงเทพมหานคร,"2023-05-12 13:25:21.084638+00",รอรับเรื่อง,,0,"2023-05-12 13:25:21.076108+00"
2023-6ZUY4U,{ท่อระบายน้ำ},"เขตสะพานสูง,การประปานครหลวง กปน. (Metropolitan Waterworks Authority - MWA),สำนักงานประปาสาขาสุขุมวิท สสส.",ท่อประปาแตกปากซอย,"100.66626,13.77315",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/ebab90a58b70e883a530e87a1429cf767c12695d.jpg,,"33 ซอย รามคำแหง 127/2 แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240 ประเทศไทย",สะพานสูง,สะพานสูง,กรุงเทพมหานคร,"2023-05-12 13:22:10.455558+00",รอรับเรื่อง,,0,"2023-05-12 13:25:06.921184+00"
2023-GWY72X,"{ความสะอาด,ร้องเรียน,เสียงรบกวน}","เขตห้วยขวาง,ฝ่ายโยธา เขตห้วยขวาง","หลังจากที่ได้แจ้งเรื่องร้องเรียนผ่านทาง TraffyFondue ไปเมื่อวันเสาร์ที่ 8 เมษายน 2566 บ้านเลขที่ 189 ซอยลาดพร้าว 48 แยก 5-1 มีการทุบตึกเก่าเพื่อก่อสร้างตั้งแต่เดือนตุลาคม 2564 ได้เอาคนงานก่อสร้างมาพักในพื้นก่อสร้าง คนงานก็ยังอยู่กันตามมีตามเกิด เอาผ้าใบมามุงเป็นหลังคา หลับนอนใต้ผ้าใบ และที่สำคัญ เก็บขยะ กิ่งไม้ใบไม้มาจุดไฟ ทุกวัน ช่วงเวลาใกล้ๆ 18:00 น. ถึง 20:00 น. นิดๆ ยังสูบบุหรี่จัดตลอด 

คนงานจุดไฟทุกวัน ควันไฟกระจายไปทั่ว โดยเฉพาะการจุดไฟด้วยขยะ ตำรวจก็มาตักเตือนตลอด ทุกวันนี้ก็ยังจุดไฟอยู่

คนงานสูบบุหรี่จัด กลิ่นและควันลอยเข้าบ้านอื่น 

เสียงรบกวนถึงแม้ว่าจะลดลง แต่ก็ยังมีอยู่

เรียนเชิญเจ้าของที่ให้มาอยู่ข้างๆที่ตัวเองเอาคนงานมาอยู่ เผื่อจะเข้าใจถึงความเดือดร้อนของคนอื่น","100.58489,13.79335",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/ed9aa2a0f02e96c3aecfad36f0afdfdd6fc40f62.jpg,,"189 ซ. พิบูลย์อุปถัมภ์ แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย",สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,"2023-05-12 13:19:20.050031+00",รอรับเรื่อง,,0,"2023-05-12 13:29:42.766959+00"
JGKLY8,{ถนน},เขตพระโขนง,"* ปัญหา: ไฟฟ้าส่องสว่างดับ จำนวน 1 ดวง ขอให้ดำเนินการแก้ไข
* จุดเกิดเหตุ:  ซอยสุขุมวิท101 ซอยปุณณวิถี 27 (ซอยสองพี่น้อง) แยก1 เลี้ยวซ้ายจะเจอสามแยก
* ซอย: สุขุมวิท101 ซอยปุณณวิถี 27 (ซอยสองพี่น้อง) แยก1
* ถนน:สุขุมวิท101
* แขวง: บางจาก
* เขต: พระโขนง

ไฟฟ้าส่องสว่างดับ จำนวน 1 ดวง ซอยสุขุมวิท101 ซอยปุณณวิถี 27 (ซอยสองพี่น้อง) แยก1 เลี้ยวซ้ายจะเจอสามแยก
จุดพิกัด ซอยสุขุมวิท 101 แยก 27 แยก 1 เลี้ยวซ็าย แขวงบางจาก เขต พระขโนง
#1555","100.61604,13.69179",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1683897514237.jpeg,,"สุขุมวิท101 ซอยปุณณวิถี 27 (ซอยสองพี่น้อง) แยก1 สุขุมวิท 101 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร : MJR8+P9P ซอย สุขุมวิท 101 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย",บางจาก,พระโขนง,กรุงเทพมหานคร,"2023-05-12 13:18:35.830912+00",รอรับเรื่อง,,0,"2023-05-12 13:18:37.876405+00"
2023-6XTZZQ,{},เขตราชเทวี,"นั้งวินมอเตอร์ไซต์ช่วงเย็นประมาณ 18.30 จากอนุสาวรียเกาะดินแดง ไปอาคารกีฬาเวส์ 1 โดนคิดว่าวินเกินราคา คือโดนเรียกเก็บ 360 บาท","100.53913,13.76543",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/a487153a925ce58d63415f99f93fe244f2c5d15e.jpg,,"อนุสาวรีย์ชัย(เกาะดินแดง) แขวง ถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย",ถนนพญาไท,ราชเทวี,กรุงเทพมหานคร,"2023-05-12 13:18:22.479225+00",รอรับเรื่อง,,0,"2023-05-12 13:18:22.464643+00"
2023-NG76K2,{},"เขตคลองสามวา,สำนักสิ่งแวดล้อม กทม.","บ้านคน แถวซ.ทัดแก้ว เผาอะไรไม่รู้ ควันฟุ้งกระจายไปหมด","100.69521,13.91150",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/370db4c404191328a33da3f57cfb27aedace90eb.jpg,,"WM6W+G2X แขวงสามวาตะวันตก เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย",สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,"2023-05-12 13:10:21.982943+00",รอรับเรื่อง,,0,"2023-05-12 13:10:21.971316+00"
2023-KKRFC2,{ท่อระบายน้ำ},เขตยานนาวา,ท่อตันน้ำเสียขึ้นมาจากท่อ,"100.54684,13.70099",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/38f06719f1df75b25802d4a012f45ea4cc09d24b.jpg,,"501/208 ซอย ช่องนนทรี แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120 ประเทศไทย",ช่องนนทรี,ยานนาวา,กรุงเทพมหานคร,"2023-05-12 13:04:57.523146+00",รอรับเรื่อง,,0,"2023-05-12 13:04:57.51294+00"
