ticket_id,type,organization,comment,coords,photo,photo_after,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
2023-9GNPH2,{น้ำท่วม},"เขตบางพลัด,พนักงานกวาด เขตบางพลัด","เนื่องจากฝนตกหนัก น้ำในท่อ กทม ดันขึ้นเข้าบ้าน  ความสูงระดับข้อเท้า น้ำท่วมมาแล้วน้อยกว่า 3 ชั่วโมง","100.48537,13.78850",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/a30914f49a1893fc9770d5287e8236cb1b332b26.jpg,,"296 ถนน สิรินธร แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย",บางพลัด,บางพลัด,กรุงเทพมหานคร,"2023-05-13 06:43:11.875931+00",กำลังดำเนินการ,,0,"2023-05-13 06:47:01.23223+00"
2023-L2R6RG,"{ถนน,ทางเท้า,ร้องเรียน}",เขตจตุจักร,"แจ้งเรื่องก่อสร้างถนนหน้า ซอยวิภาวดี 16 ไม่มีที่กั้นทางเดินให้ประชาชน เสี่ยงอันตราทั้งจากการก่อสร้าง และรถที่สัญจรบนท้องถนน","100.56183,13.79679",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/f35a6291e192d8ca05eca9deb31c75207bd5920f.jpg,,"34/10-11 ซอย วิภาวดีรังสิต 16 แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จอมพล,จตุจักร,กรุงเทพมหานคร,"2023-05-13 06:42:33.235147+00",รอรับเรื่อง,,0,"2023-05-13 06:42:33.21823+00"
2023-4W9EHL,{กีดขวาง},เขตประเวศ,"มีภาพรถมอไชค์จอดบนทางเท้าที่มี จนท เขตปรเวศอยู่ด้วย มีการจับปรับ หรือไม ภาพตรงหน้า จนท เลย ชายเสื้อม่วงน่าจะเป็น จนท เขตประเวศ","100.67671,13.67528",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/98ae17552d496f2cfe19ded8049a872cf2cabc55.jpg,,"1/9 Chaloem Phrakiat Ratchakan Thi 9 Soi 28 แขวง ดอกไม้ เขต ประเวศ กรุงเทพมหานคร 10250 ประเทศไทย",ดอกไม้,ประเวศ,กรุงเทพมหานคร,"2023-05-13 06:42:22.181676+00",รอรับเรื่อง,,0,"2023-05-13 06:42:22.165975+00"
4PDFJB,"{แสงสว่าง,ถนน,ร้องเรียน}",เขตบางเขน,"ปัญหา: ไฟส่องสว่างดับ 2 ดวง อยากให้ช่วยเจ้าหน้าที่มาตรวจสอบ
จุดเกิดเหตุ: หน้าบ้านเลขที่ 4/5
บ้านเลขที่:หน้าบ้านเลขที่ 4/5
ซอย:รามอินทรา 32 แยก 2
ถนน:รามอินทรา
เขต:บางเขน 
แขวง:ท่าแร้ง
#1555","100.63732,13.85153",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1683959596608.jpeg,,"รามอินทรา 32 แยก 2 รามอินทรา แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร : 407/1 ซอย รามอินทรา 32 แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย",ท่าแร้ง,บางเขน,กรุงเทพมหานคร,"2023-05-13 06:33:18.05516+00",รอรับเรื่อง,,0,"2023-05-13 06:33:20.034665+00"
2023-LHL4MD,"{สะพาน,ต้นไม้}",เขตพระนคร,"สะพานพระราม8  ขาลงฝั่งพระนคร ตรงโค้งวัดอินทร์ มีต้นไม้ขึ้นอยู่ข้างทางเกะกะทางรถวิ่ง","100.50229,13.76344",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/d5d69fcfe30583463703c04240ebd0fecb27e139.jpg,,"90 ถนน วิสุทธิกษัตริย์ แขวงบ้านพานถม เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย",บ้านพานถม,พระนคร,กรุงเทพมหานคร,"2023-05-13 06:32:37.417463+00",รอรับเรื่อง,,0,"2023-05-13 06:32:37.407433+00"
2023-FZ7U2R,{ความสะอาด},เขตสายไหม,"ขยะไม่เข้ามาเก็บภายในซอยสายไหมซอย 7 ประมาณ 1 อาทิตย์แล้วครับ","100.63984,13.92508",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/314d319b31f39cf6c542550c21976634fbebb182.jpg,,"77/99 ซอย สายไหม 7 แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย",สายไหม,สายไหม,กรุงเทพมหานคร,"2023-05-13 06:30:59.982134+00",รอรับเรื่อง,,0,"2023-05-13 06:30:59.973531+00"
FPZ828,"{ถนน,ความปลอดภัย}",เขตประเวศ,"ปัญหา: ไฟฟ้าส่องสว่างดับทั้งซอย หลายจุด บริเวณนั้นมีก่อสร้างด้วย ประชาชนเกรงว่าจะเป็นอันตราย ไม่ปลอดภัย // ขอให้เจ้าหน้าที่ดำเนินการแก้ไข
จุดเกิดเหตุ: บริเวณตั้งแต่ปากซอยอ่อนนุช 70 แยก 3 จนถึงท้ายซอย 
ซอย: อ่อนนุช 70 แยก 3
ถนน: สุขุมวิท 77
เขต: ประเวศ
#1555","100.65295,13.71545",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1683959342224.jpeg,,"1 ซอย อ่อนนุช 70 แยก 3 แขวงประเวศ เขต ประเวศ กรุงเทพมหานคร 10250 ประเทศไทย",ประเวศ,ประเวศ,กรุงเทพมหานคร,"2023-05-13 06:29:03.773006+00",รอรับเรื่อง,,0,"2023-05-13 06:29:05.873503+00"
2023-E7VUQ3,{ร้องเรียน},"เขตวังทองหลาง,ฝ่ายเทศกิจ เขตวังทองหลาง","ดูเหมือนที่ร้องทุกข์ไปยังไม่ได้ผลนะคะ  
เจ้าหน้าที่ไปดูก็เป็นแบบนี้ แต่วันนี้ก็มีมาใหม่เหมือนเดิม","100.60763,13.75608",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/0374a5150e8f0ac05a82d49a9f9c72cf6c4ea01b.jpg,,"49/16 รามคำแหง แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10312 ประเทศไทย",พลับพลา,วังทองหลาง,กรุงเทพมหานคร,"2023-05-13 06:28:07.265533+00",รอรับเรื่อง,,0,"2023-05-13 06:48:05.774431+00"
2023-EDYV34,"{ถนน,กีดขวาง,จราจร}",เขตบางรัก,"ปากซอยสีลม 19 ควรมีตารางห้ามหยุดรถ (ตารางสีเหลือง) ที่พื้นถนน เพื่อไม่ให้รถบนถนนสีลมจอดขวางทางเข้าออก ซอยสีลม 19 

เนื่องจากช่วงเย็นการจราจรบนถนนสีลมขาออกมุ่งหน้าไปแยกสุรศักดิ์หนาแน่นมาก ทำให้รถบนถนนสีลมขาออกติดขวางทางเข้าออกซอยสีลม 19 

ซึ่งวันธรรมดา(จ-ศ) จะมีรถเข้าออกซอยสีลม 19 เป็นจำนวนมาก ทำให้รถบนถนนสีลมขาเข้ามุ่งหน้าแยกเดโช จอดติดยาวบนถนนสีลมขาเข้า เพราะไม่สามารถเลี้ยวขวาเข้าซอยสีลม 19 ได้  

และในซอยสีลม 19 ก็มีรถติดยาวเช่นกันเพราะติดรถบนสีลมขาออกขวางทางอยู่

จึงอยากให้มีเส้นจราจรตีพื้นที่ห้ามหยุดรถ บริเวณปากซอยถนนสีลม 19 บนถนนสีลมขาออกมุ่งหน้าแยกสุรศักดิ์","100.52056,13.72355",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1bf8f67725e38aeb797ecbb1aaa53a23dc10e760.jpg,,"899 ถนน สีลม แขวง สีลม เขตบางรัก กรุงเทพมหานคร 10500 ประเทศไทย",สีลม,บางรัก,กรุงเทพมหานคร,"2023-05-13 06:27:22.29142+00",รอรับเรื่อง,,0,"2023-05-13 06:27:22.280867+00"
2023-8ZDEKX,"{ถนน,จราจร}",เขตบางกอกน้อย,"แท็กซี่จอดแช่ขว้างถนนจราจรช่องทางเข้าจุดส่งผู้ป่วยฉุกเฉินศิริราชหน้าตึกผู้ป่วยนอก  ทำให้เข้าไปส่งผู้ป่วยฉุกเฉินไม่ได้ ปัญหาเกิดขึ้นประจำ ไม่มีการแก้ไข และ ทำให้รถติดจำนวนมาก","100.48348,13.75688",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/778c6dc3477d0a115c9a569f4bd769212a31d294.jpg,,"2 ถนน วังหลัง แขวงศิริราช เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย",ศิริราช,บางกอกน้อย,กรุงเทพมหานคร,"2023-05-13 06:26:51.50591+00",รอรับเรื่อง,,0,"2023-05-13 06:26:51.489331+00"
